Stage,Section,Order,Character,Script
1,1,1,Steady,"""뭐야 여긴? 놀이공원이 아니라 놀이터잖아! 한시가 급한데 엉뚱한 곳으로 와버리다니 이런."""
1,1,2,Steady,"""그래. 언제 또 올지도 모르고 여긴 시계도 없으니 절대 놓치면 안되겠네."""
1,1,3,Steady,"""그런 느긋한 감상 늘어놓을 시간없거든."""
1,1,4,Steady,"""범상치 않은 가로등이군."""
1,1,5,Steady,"""모래와 해골은 같다. 즉 바닥의 모래에 닿으면 죽는다는 뜻이잖아. 척 보면 알지."""
1,1,6,Steady,"""버튼 주제에 사이가 좋군. 썩 내키진 않지만 힘을 합쳐야겠네."""
1,1,7,Steady,"""그냥 타이밍에 맞춰 점프해."""
1,1,8,Steady,"""음.. 어쩌면 저 원통을 이용할 수 있을지도 모르겠는걸."""
1,1,9,Steady,"""그래, 한번 확인해보자!"""
1,1,10,Steady,"""이건 확실히 신기하네. 전혀 생각지도 못했어."""
1,1,11,Steady,"""다행히 아직 늦지 않았군. 혹시 모르니 어서 타야겠어."""
1,1,12,Steady,"""놀이공원으로 가는 건 맞겠지…?"""
